TID;OMRÅDE;KØN;ALDER;CIVILSTAND;INDHOLD
2008K1;Hele landet;I alt;42 år;Enke/enkemand;434
2008K1;Hele landet;I alt;42 år;Fraskilt;10933
2008K1;Hele landet;I alt;43 år;I alt;85083
2008K1;Hele landet;I alt;43 år;Ugift;20866
2008K1;Hele landet;I alt;43 år;Gift/separeret;52528
2008K1;Hele landet;I alt;43 år;Enke/enkemand;497
2008K1;Hele landet;I alt;43 år;Fraskilt;11192
2008K1;Hele landet;I alt;44 år;I alt;83309
2008K1;Hele landet;I alt;44 år;Ugift;19697
2008K1;Hele landet;I alt;44 år;Gift/separeret;51942
2008K1;Hele landet;I alt;44 år;Enke/enkemand;559
2008K1;Hele landet;I alt;44 år;Fraskilt;11111
2008K1;Hele landet;I alt;45 år;I alt;78774
2008K1;Hele landet;I alt;45 år;Ugift;17662
2008K1;Hele landet;I alt;45 år;Gift/separeret;49458
2008K1;Hele landet;I alt;45 år;Enke/enkemand;591
2008K1;Hele landet;I alt;45 år;Fraskilt;11063
2008K1;Hele landet;I alt;46 år;I alt;76660
2008K1;Hele landet;I alt;46 år;Ugift;16819
2008K1;Hele landet;I alt;46 år;Gift/separeret;48199
2008K1;Hele landet;I alt;46 år;Enke/enkemand;691
2008K1;Hele landet;I alt;46 år;Fraskilt;10951
2008K1;Hele landet;I alt;47 år;I alt;76638
2008K1;Hele landet;I alt;47 år;Ugift;15972
2008K1;Hele landet;I alt;47 år;Gift/separeret;48510
2008K1;Hele landet;I alt;47 år;Enke/enkemand;820
2008K1;Hele landet;I alt;47 år;Fraskilt;11336
2008K1;Hele landet;I alt;48 år;I alt;73555
2008K1;Hele landet;I alt;48 år;Ugift;14980
2008K1;Hele landet;I alt;48 år;Gift/separeret;46763
2008K1;Hele landet;I alt;48 år;Enke/enkemand;847
2008K1;Hele landet;I alt;48 år;Fraskilt;10965
2008K1;Hele landet;I alt;49 år;I alt;73655
2008K1;Hele landet;I alt;49 år;Ugift;14309
2008K1;Hele landet;I alt;49 år;Gift/separeret;47317
2008K1;Hele landet;I alt;49 år;Enke/enkemand;1004
2008K1;Hele landet;I alt;49 år;Fraskilt;11025
2008K1;Hele landet;I alt;50 år;I alt;73213
2008K1;Hele landet;I alt;50 år;Ugift;13545
2008K1;Hele landet;I alt;50 år;Gift/separeret;47503
2008K1;Hele landet;I alt;50 år;Enke/enkemand;1157
2008K1;Hele landet;I alt;50 år;Fraskilt;11008
2008K1;Hele landet;I alt;51 år;I alt;73675
2008K1;Hele landet;I alt;51 år;Ugift;12878
2008K1;Hele landet;I alt;51 år;Gift/separeret;48348
2008K1;Hele landet;I alt;51 år;Enke/enkemand;1286
2008K1;Hele landet;I alt;51 år;Fraskilt;11163
2008K1;Hele landet;I alt;52 år;I alt;72650
2008K1;Hele landet;I alt;52 år;Ugift;12177
2008K1;Hele landet;I alt;52 år;Gift/separeret;47810
2008K1;Hele landet;I alt;52 år;Enke/enkemand;1469
2008K1;Hele landet;I alt;52 år;Fraskilt;11194
2008K1;Hele landet;I alt;53 år;I alt;71052
2008K1;Hele landet;I alt;53 år;Ugift;11121
2008K1;Hele landet;I alt;53 år;Gift/separeret;47268
2008K1;Hele landet;I alt;53 år;Enke/enkemand;1620
2008K1;Hele landet;I alt;53 år;Fraskilt;11043
2008K1;Hele landet;I alt;54 år;I alt;72167
2008K1;Hele landet;I alt;54 år;Ugift;10537
2008K1;Hele landet;I alt;54 år;Gift/separeret;48506
2008K1;Hele landet;I alt;54 år;Enke/enkemand;1819
2008K1;Hele landet;I alt;54 år;Fraskilt;11305
2008K1;Hele landet;I alt;55 år;I alt;70561
2008K1;Hele landet;I alt;55 år;Ugift;9516
2008K1;Hele landet;I alt;55 år;Gift/separeret;47901
2008K1;Hele landet;I alt;55 år;Enke/enkemand;2069
2008K1;Hele landet;I alt;55 år;Fraskilt;11075
2008K1;Hele landet;I alt;56 år;I alt;69241
2008K1;Hele landet;I alt;56 år;Ugift;8593
2008K1;Hele landet;I alt;56 år;Gift/separeret;47330
2008K1;Hele landet;I alt;56 år;Enke/enkemand;2302
2008K1;Hele landet;I alt;56 år;Fraskilt;11016
2008K1;Hele landet;I alt;57 år;I alt;71094
2008K1;Hele landet;I alt;57 år;Ugift;7943
2008K1;Hele landet;I alt;57 år;Gift/separeret;49041
2008K1;Hele landet;I alt;57 år;Enke/enkemand;2497
2008K1;Hele landet;I alt;57 år;Fraskilt;11613
2008K1;Hele landet;I alt;58 år;I alt;70490
2008K1;Hele landet;I alt;58 år;Ugift;7038
2008K1;Hele landet;I alt;58 år;Gift/separeret;49080
2008K1;Hele landet;I alt;58 år;Enke/enkemand;2966
2008K1;Hele landet;I alt;58 år;Fraskilt;11406
2008K1;Hele landet;I alt;59 år;I alt;73850
2008K1;Hele landet;I alt;59 år;Ugift;6697
2008K1;Hele landet;I alt;59 år;Gift/separeret;51945
2008K1;Hele landet;I alt;59 år;Enke/enkemand;3465
2008K1;Hele landet;I alt;59 år;Fraskilt;11743
2008K1;Hele landet;I alt;60 år;I alt;78115
2008K1;Hele landet;I alt;60 år;Ugift;6317
2008K1;Hele landet;I alt;60 år;Gift/separeret;55526
2008K1;Hele landet;I alt;60 år;Enke/enkemand;4033
2008K1;Hele landet;I alt;60 år;Fraskilt;12239
2008K1;Hele landet;I alt;61 år;I alt;80273
2008K1;Hele landet;I alt;61 år;Ugift;5916
2008K1;Hele landet;I alt;61 år;Gift/separeret;57006
2008K1;Hele landet;I alt;61 år;Enke/enkemand;4743
2008K1;Hele landet;I alt;61 år;Fraskilt;12608
2008K1;Hele landet;I alt;62 år;I alt;77011
2008K1;Hele landet;I alt;62 år;Ugift;5193
2008K1;Hele landet;I alt;62 år;Gift/separeret;54698
2008K1;Hele landet;I alt;62 år;Enke/enkemand;5111
2008K1;Hele landet;I alt;62 år;Fraskilt;12009
2008K1;Hele landet;I alt;63 år;I alt;72603
2008K1;Hele landet;I alt;63 år;Ugift;4693
2008K1;Hele landet;I alt;63 år;Gift/separeret;51075
2008K1;Hele landet;I alt;63 år;Enke/enkemand;5688
2008K1;Hele landet;I alt;63 år;Fraskilt;11147
2008K1;Hele landet;I alt;64 år;I alt;66289
2008K1;Hele landet;I alt;64 år;Ugift;4015
2008K1;Hele landet;I alt;64 år;Gift/separeret;46208
2008K1;Hele landet;I alt;64 år;Enke/enkemand;5920
2008K1;Hele landet;I alt;64 år;Fraskilt;10146
2008K1;Hele landet;I alt;65 år;I alt;61857
2008K1;Hele landet;I alt;65 år;Ugift;3463
2008K1;Hele landet;I alt;65 år;Gift/separeret;42911
2008K1;Hele landet;I alt;65 år;Enke/enkemand;6080
2008K1;Hele landet;I alt;65 år;Fraskilt;9403
2008K1;Hele landet;I alt;66 år;I alt;54527
2008K1;Hele landet;I alt;66 år;Ugift;2930
2008K1;Hele landet;I alt;66 år;Gift/separeret;37623
2008K1;Hele landet;I alt;66 år;Enke/enkemand;5965
2008K1;Hele landet;I alt;66 år;Fraskilt;8009
2008K1;Hele landet;I alt;67 år;I alt;52433
2008K1;Hele landet;I alt;67 år;Ugift;2815
2008K1;Hele landet;I alt;67 år;Gift/separeret;35559
2008K1;Hele landet;I alt;67 år;Enke/enkemand;6482
2008K1;Hele landet;I alt;67 år;Fraskilt;7577
2008K1;Hele landet;I alt;68 år;I alt;49364
2008K1;Hele landet;I alt;68 år;Ugift;2607
2008K1;Hele landet;I alt;68 år;Gift/separeret;33035
2008K1;Hele landet;I alt;68 år;Enke/enkemand;6867
2008K1;Hele landet;I alt;68 år;Fraskilt;6855
2008K1;Hele landet;I alt;69 år;I alt;48297
2008K1;Hele landet;I alt;69 år;Ugift;2500
2008K1;Hele landet;I alt;69 år;Gift/separeret;31825
2008K1;Hele landet;I alt;69 år;Enke/enkemand;7542
2008K1;Hele landet;I alt;69 år;Fraskilt;6430
2008K1;Hele landet;I alt;70 år;I alt;45771
2008K1;Hele landet;I alt;70 år;Ugift;2274
2008K1;Hele landet;I alt;70 år;Gift/separeret;29550
2008K1;Hele landet;I alt;70 år;Enke/enkemand;8042
2008K1;Hele landet;I alt;70 år;Fraskilt;5905
2008K1;Hele landet;I alt;71 år;I alt;43301
2008K1;Hele landet;I alt;71 år;Ugift;2167
2008K1;Hele landet;I alt;71 år;Gift/separeret;27242
2008K1;Hele landet;I alt;71 år;Enke/enkemand;8651
2008K1;Hele landet;I alt;71 år;Fraskilt;5241
2008K1;Hele landet;I alt;72 år;I alt;40495
2008K1;Hele landet;I alt;72 år;Ugift;2027
2008K1;Hele landet;I alt;72 år;Gift/separeret;24701
2008K1;Hele landet;I alt;72 år;Enke/enkemand;8985
2008K1;Hele landet;I alt;72 år;Fraskilt;4782
2008K1;Hele landet;I alt;73 år;I alt;38580
2008K1;Hele landet;I alt;73 år;Ugift;1922
2008K1;Hele landet;I alt;73 år;Gift/separeret;22805
2008K1;Hele landet;I alt;73 år;Enke/enkemand;9488
2008K1;Hele landet;I alt;73 år;Fraskilt;4365
2008K1;Hele landet;I alt;74 år;I alt;35880
2008K1;Hele landet;I alt;74 år;Ugift;1759
2008K1;Hele landet;I alt;74 år;Gift/separeret;20497
2008K1;Hele landet;I alt;74 år;Enke/enkemand;9693
2008K1;Hele landet;I alt;74 år;Fraskilt;3931
2008K1;Hele landet;I alt;75 år;I alt;34546
2008K1;Hele landet;I alt;75 år;Ugift;1769
2008K1;Hele landet;I alt;75 år;Gift/separeret;18840
2008K1;Hele landet;I alt;75 år;Enke/enkemand;10478
2008K1;Hele landet;I alt;75 år;Fraskilt;3459
2008K1;Hele landet;I alt;76 år;I alt;32755
2008K1;Hele landet;I alt;76 år;Ugift;1613
2008K1;Hele landet;I alt;76 år;Gift/separeret;17334
2008K1;Hele landet;I alt;76 år;Enke/enkemand;10613
2008K1;Hele landet;I alt;76 år;Fraskilt;3195
